OrderID,OrderDate,Region,State,Category,Product,Channel,UnitsSold,UnitPrice,Revenue,COGS,OpEx,MarketingSpend
100150,2024-11-01,South,TN,Furniture,Drift Side Table,Retail,4,143.2,572.8,357.31,85.76,33.46
100113,2024-11-01,Midwest,OH,Lighting,Aria Desk Lamp,Online,3,66.89,200.68,110.11,27.92,10.0
100039,2024-11-02,Northeast,NY,Lighting,Ember Floor Lamp,Online,2,115.71,231.42,120.02,28.93,9.1
100091,2024-11-02,West,CA,Furniture,Aster Bookcase,Online,5,394.99,1974.95,1160.63,251.43,100.02
100166,2024-11-02,South,GA,Furniture,Aster Bookcase,Retail,5,409.38,2046.92,1217.4,299.86,102.07
100051,2024-11-02,Northeast,NJ,Storage,Loop Bin Set,Wholesale,4,52.08,208.31,117.69,31.29,7.14
100199,2024-11-02,Southwest,OK,Furniture,Aster Bookcase,Online,1,440.1,440.1,278.8,49.08,16.29
100117,2024-11-02,Midwest,IL,Furniture,Aster Bookcase,Wholesale,3,430.01,1290.03,842.2,138.34,84.94
100101,2024-11-02,Midwest,IL,Lighting,Aria Desk Lamp,Retail,1,65.87,65.87,34.28,10.51,1.99
100124,2024-11-02,Midwest,WI,Furniture,Aster Bookcase,Retail,2,431.84,863.69,554.36,97.35,57.83
100044,2024-11-02,Northeast,NY,Storage,Loop Bin Set,Retail,5,53.08,265.39,156.07,29.27,13.96
100064,2024-11-02,West,CA,Furniture,Drift Side Table,Online,5,147.06,735.32,474.61,75.98,30.31
100197,2024-11-03,Southeast,VA,Storage,Loop Bin Set,Wholesale,1,52.88,52.88,32.49,8.06,3.47
100056,2024-11-03,Northeast,PA,Furniture,Aster Bookcase,Online,4,399.79,1599.16,1048.61,218.59,51.46
100158,2024-11-03,South,TN,Furniture,Nimbus Chair,Wholesale,3,317.48,952.43,612.2,104.98,65.86
100169,2024-11-03,South,GA,Furniture,Nimbus Chair,Wholesale,1,337.06,337.06,204.06,51.39,10.43
100145,2024-11-03,South,TX,Furniture,Nimbus Chair,Wholesale,1,322.15,322.15,203.38,48.13,11.83
100176,2024-11-04,Southeast,SC,Furniture,Nimbus Chair,Wholesale,5,307.92,1539.61,992.36,244.11,98.05
100028,2024-11-04,Northeast,MA,Furniture,Drift Side Table,Online,5,145.24,726.22,459.06,114.26,30.11
100063,2024-11-04,West,NV,Furniture,Aster Bookcase,Wholesale,3,428.77,1286.3,797.85,168.78,79.74
100116,2024-11-04,Midwest,WI,Lighting,Halo Monitor Arm,Online,1,87.48,87.48,45.95,12.61,3.66
100209,2024-11-04,Southwest,OK,Furniture,Nimbus Chair,Online,4,335.61,1342.46,876.12,192.91,63.97
100189,2024-11-04,Southeast,SC,Lighting,Halo Monitor Arm,Retail,1,86.85,86.85,47.3,10.11,2.99
100011,2024-11-04,Northeast,NY,Furniture,Drift Side Table,Online,5,140.9,704.49,448.44,89.97,25.68
100131,2024-11-05,Midwest,WI,Lighting,Aria Desk Lamp,Online,1,67.49,67.49,36.61,7.75,3.83
100077,2024-11-05,West,WA,Lighting,Ember Floor Lamp,Wholesale,4,120.52,482.08,257.71,69.9,21.14
100210,2024-11-05,Southwest,OK,Storage,Cascade Shelf,Wholesale,3,188.43,565.28,319.52,60.52,22.35
100148,2024-11-05,South,TX,Storage,Loop Bin Set,Online,1,51.9,51.9,31.27,6.43,3.61
100106,2024-11-05,Midwest,MI,Furniture,Aster Bookcase,Online,1,436.92,436.92,259.49,68.9,16.23
100138,2024-11-05,Midwest,WI,Furniture,Drift Side Table,Wholesale,1,144.09,144.09,85.46,21.1,4.99
100012,2024-11-05,Northeast,MA,Lighting,Ember Floor Lamp,Online,1,116.54,116.54,59.16,16.06,5.18
100129,2024-11-05,Midwest,MI,Furniture,Aster Bookcase,Retail,4,410.99,1643.95,1020.34,253.87,76.89
100121,2024-11-05,Midwest,IL,Furniture,Nimbus Chair,Wholesale,5,324.05,1620.26,1011.12,182.22,65.02
100203,2024-11-05,Southwest,NM,Storage,Loop Bin Set,Retail,1,54.07,54.07,30.19,6.04,2.51
100152,2024-11-05,South,GA,Lighting,Aria Desk Lamp,Retail,2,66.99,133.99,70.21,18.84,4.37
100204,2024-11-05,Southwest,OK,Lighting,Ember Floor Lamp,Retail,5,115.75,578.76,297.77,71.88,38.74
100088,2024-11-06,West,CA,Lighting,Aria Desk Lamp,Online,2,66.73,133.47,72.52,15.62,7.0
100178,2024-11-06,Southeast,NC,Lighting,Halo Monitor Arm,Online,3,89.02,267.06,132.03,27.95,16.34
100183,2024-11-06,Southeast,SC,Lighting,Halo Monitor Arm,Retail,1,88.26,88.26,45.54,10.04,5.2
100040,2024-11-06,Northeast,PA,Furniture,Drift Side Table,Online,2,143.92,287.85,174.12,45.17,19.19
100149,2024-11-06,South,AL,Furniture,Aster Bookcase,Online,4,413.42,1653.67,1083.79,251.97,62.33
100026,2024-11-06,Northeast,NY,Storage,Vault Cabinet,Online,3,251.86,755.59,418.88,106.28,26.35
100033,2024-11-06,Northeast,NJ,Furniture,Aster Bookcase,Online,1,421.18,421.18,255.19,45.75,28.15
100104,2024-11-06,Midwest,MI,Furniture,Aster Bookcase,Retail,5,403.02,2015.1,1233.79,283.44,118.95
100016,2024-11-06,Northeast,MA,Lighting,Halo Monitor Arm,Online,1,89.36,89.36,45.52,9.71,3.05
100136,2024-11-07,Midwest,WI,Storage,Loop Bin Set,Wholesale,5,56.53,282.65,163.56,36.01,11.2
100213,2024-11-07,Southwest,AZ,Furniture,Drift Side Table,Wholesale,4,146.68,586.73,359.95,89.5,24.27
100023,2024-11-07,Northeast,NJ,Storage,Cascade Shelf,Wholesale,5,188.52,942.59,547.94,112.13,57.39
100068,2024-11-07,West,NV,Furniture,Drift Side Table,Retail,5,156.4,781.98,513.35,84.84,37.48
100140,2024-11-07,South,TN,Furniture,Drift Side Table,Wholesale,4,142.85,571.41,337.77,85.68,21.17
100115,2024-11-07,Midwest,MI,Storage,Vault Cabinet,Online,1,251.66,251.66,138.9,37.94,13.76
100208,2024-11-08,Southwest,OK,Storage,Cascade Shelf,Wholesale,2,192.47,384.93,215.96,39.66,24.9
100058,2024-11-08,West,NV,Storage,Cascade Shelf,Online,4,184.39,737.58,417.6,99.34,42.77
100165,2024-11-08,South,GA,Lighting,Aria Desk Lamp,Wholesale,1,71.17,71.17,36.86,7.14,4.37
100062,2024-11-08,West,NV,Lighting,Halo Monitor Arm,Online,4,92.1,368.39,192.69,46.37,20.28
100079,2024-11-08,West,NV,Storage,Vault Cabinet,Wholesale,1,265.77,265.77,160.11,27.17,11.94
100130,2024-11-08,Midwest,IL,Lighting,Halo Monitor Arm,Online,2,89.27,178.54,88.29,25.0,10.04
100020,2024-11-08,Northeast,PA,Lighting,Aria Desk Lamp,Online,1,70.54,70.54,37.68,10.31,2.42
100019,2024-11-09,Northeast,NY,Furniture,Aster Bookcase,Online,2,417.25,834.5,537.65,128.32,29.72
100200,2024-11-09,Southwest,OK,Storage,Loop Bin Set,Online,2,57.71,115.42,69.47,13.17,4.74
100132,2024-11-09,Midwest,MI,Furniture,Aster Bookcase,Online,2,396.89,793.78,516.38,89.02,41.03
100161,2024-11-09,South,GA,Storage,Loop Bin Set,Online,5,54.05,270.24,158.02,34.51,15.23
100099,2024-11-09,West,CA,Storage,Cascade Shelf,Retail,2,189.7,379.4,217.78,45.17,12.57
100049,2024-11-09,Northeast,NJ,Storage,Cascade Shelf,Online,4,193.26,773.03,455.73,82.96,41.38
100186,2024-11-09,Southeast,NC,Furniture,Drift Side Table,Wholesale,5,146.59,732.95,430.45,109.45,40.99
